SUC001,Cebollas,7501234568009,Verduras,2026-06-20,Valle Verde,8.00,250
SUC001,Zanahorias,7501234568010,Verduras,2026-06-15,Valle Verde,10.00,200
SUC002,Lechugas,7501234568011,Verduras,2026-05-25,Valle Verde,12.00,180
SUC002,Tomates,7501234568012,Verduras,2026-05-30,Valle Verde,10.00,220
SUC003,Pimientos,7501234568013,Verduras,2026-06-05,Valle Verde,15.00,150
SUC003,Calabacines,7501234568014,Verduras,2026-06-10,Valle Verde,12.00,160
SUC004,Papas,7501234568015,Verduras,2026-07-01,Valle Verde,8.00,300
SUC004,Cebollines,7501234568016,Verduras,2026-06-08,Valle Verde,10.00,190
SUC005,Ajos,7501234568017,Verduras,2026-07-15,Valle Verde,12.00,170
SUC005,Jengibre,7501234568018,Verduras,2026-06-25,Valle Verde,15.00,140
SUC001,Bistec,7501234568019,Carnicos,2026-06-01,Swift,65.00,50
SUC001,Chuletas,7501234568020,Carnicos,2026-06-03,Swift,75.00,45
SUC002,Pollo Entero,7501234568021,Carnicos,2026-06-05,San Fernando,45.00,60
SUC002,Pechugas,7501234568022,Carnicos,2026-06-04,San Fernando,55.00,55
SUC003,Costillas,7501234568023,Carnicos,2026-06-02,Swift,85.00,40
SUC003,Lomo,7501234568024,Carnicos,2026-06-01,Swift,95.00,35
SUC004,Pescado,7501234568025,Mariscos,2026-06-03,SeaBass,65.00,30
SUC004,Camarones,7501234568026,Mariscos,2026-06-02,SeaBass,85.00,25
SUC005,Pulpo,7501234568027,Mariscos,2026-06-01,SeaBass,120.00,20
SUC005,Calamares,7501234568028,Mariscos,2026-06-02,SeaBass,95.00,22
SUC001,Harina de Trigo,7501234568029,Panaderia,2027-12-15,Blanca Flor,10.00,200
SUC001,Harina de Maiz,7501234568030,Panaderia,2027-11-30,Blanca Flor,10.00,180
SUC002,Tortillas,7501234568031,Panaderia,2026-05-20,Bimbo,8.00,250
SUC002,Bollos,7501234568032,Panaderia,2026-05-18,Bimbo,12.00,150
SUC003,Muffins,7501234568033,Panaderia,2026-05-25,Bimbo,15.00,100
SUC003,Cupcakes,7501234568034,Panaderia,2026-05-22,Bimbo,18.00,90
SUC004,Pan Integral,7501234568035,Panaderia,2026-05-19,Bimbo,14.00,120
SUC004,Pan de Molde,7501234568036,Panaderia,2026-05-20,Bimbo,12.00,130
SUC005,Galletas de Sal,7501234568037,Snacks,2027-10-10,gamesa,10.00,140
SUC005,Galletas de Mantequilla,7501234568038,Snacks,2027-09-25,gamesa,12.00,130
SUC001,Cacahuates,7501234568039,Snacks,2027-08-15,Planters,25.00,80
SUC001,Almendras,7501234568040,Snacks,2027-09-01,Planters,35.00,60
SUC002,Nueces,7501234568041,Snacks,2027-08-20,Planters,40.00,55
SUC002,Pasas,7501234568042,Snacks,2027-10-05,Sun-Maid,18.00,90
SUC003,Arandanos Secos,7501234568043,Snacks,2027-09-15,Ocean Spray,28.00,70
SUC003,Cerezas Secas,7501234568044,Snacks,2027-09-10,Ocean Spray,30.00,65
SUC004,Chocolate Amargo,7501234568045,Snacks,2027-11-20,Nestlé,20.00,95
SUC004,Chocolate con Leche,7501234568046,Snacks,2027-11-20,Nestlé,20.00,100
SUC005,Chocolate Blanco,7501234568047,Snacks,2027-11-20,Nestlé,22.00,85
SUC005,Barra de Granola,7501234568048,Snacks,2027-10-15,Quaker,15.00,110
SUC001,Cereal Corn Flakes,7501234568049,Cereales,2027-08-01,Kellogg's,25.00,80
SUC001,Cereal Froot Loops,7501234568050,Cereales,2027-08-01,Kellogg's,28.00,75
SUC002,Cereal Choco Krispies,7501234568051,Cereales,2027-08-01,Kellogg's,28.00,70
SUC002,Cereal All-Bran,7501234568052,Cereales,2027-08-01,Kellogg's,30.00,65
SUC003,Avena,7501234568053,Cereales,2027-12-15,Quaker,18.00,120
SUC003,Trigo Inflado,7501234568054,Cereales,2027-10-30,Quaker,15.00,100
SUC004,Leche Entera,7501234568055,Lacteos,2027-05-15,Lala,14.00,90
SUC004,Leche Deslactosada,7501234568056,Lacteos,2027-05-15,Lala,15.00,85
SUC005,Leche Almendras,7501234568057,Lacteos,2027-04-20,Alpura,18.00,70
SUC005,Leche Soja,7501234568058,Lacteos,2027-04-20,Alpura,18.00,65
SUC001,Yogurth Natural,7501234568059,Lacteos,2026-07-05,Yoplait,10.00,130
SUC001,Yogurth Fresa,7501234568060,Lacteos,2026-07-05,Yoplait,10.00,125
SUC002,Yogurth Mango,7501234568061,Lacteos,2026-07-05,Yoplait,10.00,120
SUC002,Yogurth Durazno,7501234568062,Lacteos,2026-07-05,Yoplait,10.00,115
SUC003,Queso Panela,7501234568063,Lacteos,2027-03-10,Corral,38.00,60
SUC003,Queso Mozarela,7501234568064,Lacteos,2027-03-10,Corral,42.00,55
SUC004,Queso Cheddar,7501234568065,Lacteos,2027-03-10,Corral,45.00,50
SUC004,Queso Parmesano,7501234568066,Lacteos,2027-03-10,Corral,48.00,45
SUC005,Crema Agria,7501234568067,Lacteos,2027-04-05,Lala,22.00,80
SUC005,Queso Crema,7501234568068,Lacteos,2027-04-05,Philadelphia,28.00,70
SUC001,Agua Mineral,7501234568069,Bebidas,2027-12-31,Ciel,10.00,200
SUC001,Agua Saborizada,7501234568070,Bebidas,2027-12-31,Ciel,12.00,180
SUC002,Refresco Cola,7501234568071,Bebidas,2026-12-15,Coca-Cola,15.00,150
SUC002,Refresco Limon,7501234568072,Bebidas,2026-12-15,Coca-Cola,15.00,145
SUC003,Refresco Naranja,7501234568073,Bebidas,2026-12-15,Coca-Cola,15.00,140
SUC003,Refresco Mandarina,7501234568074,Bebidas,2026-12-15,Coca-Cola,15.00,135
SUC004,Jugo Mango,7501234568075,Bebidas,2027-05-20,Tampico,12.00,110
SUC004,Jugo Piña,7501234568076,Bebidas,2027-05-20,Tampico,12.00,105
SUC005,Jugo Uva,7501234568077,Bebidas,2027-05-20,Tampico,12.00,100
SUC005,Jugo Manzana,7501234568078,Bebidas,2027-05-20,Tampico,12.00,95
SUC001,Cerveza Light,7501234568079,Bebidas,2026-12-20,Corona,20.00,45
SUC001,Cerveza Extra,7501234568080,Bebidas,2026-12-20,Corona,20.00,40
SUC002,Vino Blanco,7501234568081,Bebidas,2028-06-01,Concha y Toro,130.00,25
SUC002,Vino Rosado,7501234568082,Bebidas,2028-06-01,Concha y Toro,135.00,22
SUC003,Vino Generoso,7501234568083,Bebidas,2028-06-01,Concha y Toro,140.00,20
SUC003,Brandy,7501234568084,Bebidas,2028-12-31,Fundador,180.00,15
